ESI	|	OPERACION
ESI13	|	SET e3:sony:juegos DeathStranding
ESI13	|	SET e3:sony:juegos ResidenEvil2Remake
ESI13	|	SET e3:sony:juegos Destiny2DLCForsaken
ESI13	|	SET e3:microsoft:juegos DLCCuphead
ESI13	|	SET e3:microsoft:juegos ForzaHorizon4
ESI13	|	SET e3:microsoft:juegos Gears5
ESI13	|	SET e3:microsoft:juegos MetroExodus
ESI13	|	SET e3:microsoft:juegos Fallout76
ESI13	|	SET e3:microsoft:juegos TheDivision2
ESI13	|	SET e3:microsoft:juegos DyingLight2
ESI13	|	SET e3:microsoft:juegos Crackdown3
ESI13	|	SET e3:microsoft:juegos HaloInfinite
ESI13	|	SET e3:microsoft:juegos KingdomHearts3
ESI13	|	STORE e3:microsoft:juegos 
ESI13	|	STORE e3:sony:juegos 
ESI14	|	GET postre:ingrediente1 
ESI15	|	GET sony:consola:ps1 
ESI15	|	GET sony:consola:ps2 
ESI15	|	GET sony:consola:ps3 
ESI15	|	GET sony:consola:ps4 
ESI15	|	GET microsoft:consola:xbox 
ESI15	|	GET microsoft:consola:xbox360 
ESI15	|	GET microsoft:consola:xboxone 
ESI15	|	GET nintendo:consola:nes 
ESI15	|	GET nintendo:consola:snes 
ESI15	|	GET nintendo:consola:nintendo64 
ESI15	|	GET nintendo:consola:gamecube 
ESI15	|	GET nintendo:consola:wii 
ESI15	|	GET nintendo:consola:wiiu 
ESI15	|	GET nintendo:consola:switch 
ESI15	|	SET nintendo:consola:nes Mario
ESI15	|	SET nintendo:consola:snes SuperMario
ESI15	|	SET nintendo:consola:nintendo64 Mario64
ESI15	|	SET nintendo:consola:gamecube Mario
ESI15	|	SET nintendo:consola:wii MarioGalaxy
ESI15	|	SET nintendo:consola:wiiu RIP
ESI15	|	SET nintendo:consola:switch MarioOddysey
ESI15	|	SET sony:consola:ps1 FinalFantasy
ESI15	|	SET sony:consola:ps2 GodOfWar
ESI15	|	SET sony:consola:ps3 TLOU
ESI15	|	SET sony:consola:ps4 Bloodborne
ESI15	|	SET microsoft:consola:xbox Halo
ESI15	|	SET microsoft:consola:xbox360 Halo
ESI15	|	SET microsoft:consola:xboxone Halo
ESI17	|	GET platoprincipal:ingrediente5 
ESI17	|	GET platoprincipal:ingrediente4 
ESI17	|	GET platoprincipal:ingrediente3 
ESI17	|	GET platoprincipal:ingrediente2 
ESI17	|	GET platoprincipal:ingrediente1 
ESI17	|	SET platoprincipal:ingrediente1 milanesadecarne
ESI17	|	SET platoprincipal:ingrediente2 queso
ESI17	|	SET platoprincipal:ingrediente3 jamon
ESI17	|	SET platoprincipal:ingrediente4 lechuga
ESI17	|	SET platoprincipal:ingrediente5 tomate
ESI17	|	STORE platoprincipal:ingrediente1 
ESI17	|	STORE platoprincipal:ingrediente2 
ESI17	|	STORE platoprincipal:ingrediente3 
ESI17	|	STORE platoprincipal:ingrediente4 
ESI17	|	STORE platoprincipal:ingrediente5 
ESI18	|	GET sandwich:bondiola:simple 
ESI18	|	GET sandwich:bondiola:jyq 
ESI18	|	GET sandwich:bondiola:completo 
ESI18	|	GET sandwich:lomo:simple 
ESI18	|	GET sandwich:lomo:jyq 
ESI18	|	GET sandwich:lomo:completo 
ESI18	|	GET sandwich:vacio:simple 
ESI18	|	GET sandwich:vacio:jyq 
ESI18	|	GET sandwich:vacio:completo 
ESI18	|	GET sandwich:choripan 
ESI18	|	GET sandwich:morcipan 
ESI18	|	GET parrilla:chinchulines 
ESI18	|	GET parrilla:rinion 
ESI18	|	GET parrilla:tiraasado 
ESI18	|	GET parrilla:vacio 
ESI18	|	GET parrilla:entrania 
ESI18	|	GET parrilla:bifedelomo 
ESI18	|	GET parrilla:matambre:simple 
ESI18	|	GET parrilla:matambre:alapizza 
ESI18	|	GET parrilla:ojodebife 
ESI18	|	GET parrilla:molleja 
ESI18	|	GET parrilla:pareja 
ESI18	|	GET cocina:papasfritas 
ESI18	|	GET cocina:batatasfritas 
ESI18	|	GET cocina:tallarines 
ESI18	|	GET cocina:ravioles 
ESI18	|	GET cocina:nioquis 
ESI18	|	GET cocina:suprema 
ESI18	|	GET cocina:milanesa:carne 
ESI18	|	GET cocina:milanesa:pollo 
ESI18	|	SET sandwich:bondiola:simple panbondiola
ESI18	|	SET sandwich:bondiola:jyq panjamonquesobondiola
ESI18	|	SET sandwich:bondiola:completo panjamonquesolechugatomatebondiola
ESI18	|	SET sandwich:lomo:simple panlomo
ESI18	|	SET sandwich:lomo:jyq panjamonquesolomo
ESI18	|	SET sandwich:lomo:completo panjamonquesolechugatomatelomo
ESI18	|	SET sandwich:vacio:simple panvacio
ESI18	|	SET sandwich:vacio:jyq panjamonquesovacio
ESI18	|	SET sandwich:vacio:completo panjamonquesolechugatomatevacio
ESI18	|	SET sandwich:choripan panchorizo
ESI18	|	SET sandwich:morcipan panmorcilla
ESI18	|	SET parrilla:chinchulines chinchulineslimon
ESI18	|	SET parrilla:rinion rinionylimon
ESI18	|	SET parrilla:tiraasado porcionde3o4huesos
ESI18	|	SET parrilla:vacio vacioconfritas
ESI18	|	SET parrilla:entrania entraniaconfritas
ESI18	|	SET parrilla:bifedelomo bifeconfritas
ESI18	|	SET parrilla:matambre:simple matambrefritas
ESI18	|	SET parrilla:matambre:alapizza matambrejamonquesooregano
ESI18	|	SET parrilla:ojodebife ojodebifeconfritas
ESI18	|	SET parrilla:molleja mollejaconlimon
ESI18	|	SET parrilla:pareja chorizoymorcilla
ESI18	|	SET cocina:papasfritas papayaceite
ESI18	|	SET cocina:batatasfritas batatayaceite
ESI18	|	SET cocina:tallarines tallarinescontuco
ESI18	|	SET cocina:ravioles raviolesdejyqcontuco
ESI18	|	SET cocina:nioquis nioquisdepapacontuco
ESI18	|	SET cocina:suprema supremaalamaryland
ESI18	|	SET cocina:milanesa:carne milanesadecarneconfritas
ESI18	|	SET cocina:milanesa:pollo milanesadepolloconfritas
ESI18	|	STORE sandwich:bondiola:simple 
ESI18	|	STORE sandwich:bondiola:jyq 
ESI18	|	STORE sandwich:bondiola:completo 
ESI18	|	STORE sandwich:lomo:simple 
ESI18	|	STORE sandwich:lomo:jyq 
ESI18	|	STORE sandwich:lomo:completo 
ESI18	|	STORE sandwich:vacio:simple 
ESI18	|	STORE sandwich:vacio:jyq 
ESI18	|	STORE sandwich:vacio:completo 
ESI18	|	STORE sandwich:choripan 
ESI18	|	STORE sandwich:morcipan 
ESI18	|	STORE parrilla:chinchulines 
ESI18	|	STORE parrilla:rinion 
ESI18	|	STORE parrilla:tiraasado 
ESI18	|	STORE parrilla:vacio 
ESI18	|	STORE parrilla:entrania 
ESI18	|	STORE parrilla:bifedelomo 
ESI18	|	STORE parrilla:matambre:simple 
ESI18	|	STORE parrilla:matambre:alapizza 
ESI18	|	STORE parrilla:ojodebife 
ESI18	|	STORE parrilla:molleja 
ESI18	|	STORE parrilla:pareja 
ESI18	|	STORE cocina:papasfritas 
ESI18	|	STORE cocina:batatasfritas 
ESI18	|	STORE cocina:tallarines 
ESI18	|	STORE cocina:ravioles 
ESI13	|	GET platoprincipal:ingrediente5 
ESI13	|	GET platoprincipal:ingrediente4 
ESI13	|	GET platoprincipal:ingrediente3 
ESI13	|	GET platoprincipal:ingrediente2 
ESI13	|	GET platoprincipal:ingrediente1 
ESI13	|	SET platoprincipal:ingrediente1 milanesadecarne
ESI13	|	SET platoprincipal:ingrediente2 queso
ESI13	|	SET platoprincipal:ingrediente3 jamon
ESI13	|	SET platoprincipal:ingrediente4 lechuga
ESI13	|	SET platoprincipal:ingrediente5 tomate
ESI13	|	STORE platoprincipal:ingrediente1 
ESI13	|	STORE platoprincipal:ingrediente2 
ESI13	|	STORE platoprincipal:ingrediente3 
ESI13	|	STORE platoprincipal:ingrediente4 
ESI13	|	STORE platoprincipal:ingrediente5 
ESI14	|	GET sandwich:bondiola:simple 
ESI14	|	GET sandwich:bondiola:jyq 
ESI14	|	GET sandwich:bondiola:completo 
ESI14	|	GET sandwich:lomo:simple 
ESI14	|	GET sandwich:lomo:jyq 
ESI14	|	GET sandwich:lomo:completo 
ESI14	|	GET sandwich:vacio:simple 
ESI14	|	GET sandwich:vacio:jyq 
ESI14	|	GET sandwich:vacio:completo 
ESI14	|	GET sandwich:choripan 
ESI14	|	GET sandwich:morcipan 
ESI14	|	GET parrilla:chinchulines 
ESI14	|	GET parrilla:rinion 
ESI14	|	GET parrilla:tiraasado 
ESI14	|	GET parrilla:vacio 
ESI14	|	GET parrilla:entrania 
ESI14	|	GET parrilla:bifedelomo 
ESI14	|	GET parrilla:matambre:simple 
ESI14	|	GET parrilla:matambre:alapizza 
ESI14	|	GET parrilla:ojodebife 
ESI14	|	GET parrilla:molleja 
ESI14	|	GET parrilla:pareja 
ESI14	|	GET cocina:papasfritas 
ESI14	|	GET cocina:batatasfritas 
ESI14	|	GET cocina:tallarines 
ESI14	|	GET cocina:ravioles 
ESI14	|	GET cocina:nioquis 
ESI14	|	GET cocina:suprema 
ESI14	|	GET cocina:milanesa:carne 
ESI14	|	GET cocina:milanesa:pollo 
ESI14	|	SET sandwich:bondiola:simple panbondiola
ESI14	|	SET sandwich:bondiola:jyq panjamonquesobondiola
ESI14	|	SET sandwich:bondiola:completo panjamonquesolechugatomatebondiola
ESI14	|	SET sandwich:lomo:simple panlomo
ESI14	|	SET sandwich:lomo:jyq panjamonquesolomo
ESI14	|	SET sandwich:lomo:completo panjamonquesolechugatomatelomo
ESI14	|	SET sandwich:vacio:simple panvacio
ESI14	|	SET sandwich:vacio:jyq panjamonquesovacio
ESI14	|	SET sandwich:vacio:completo panjamonquesolechugatomatevacio
ESI14	|	SET sandwich:choripan panchorizo
ESI14	|	SET sandwich:morcipan panmorcilla
ESI14	|	SET parrilla:chinchulines chinchulineslimon
ESI14	|	SET parrilla:rinion rinionylimon
ESI14	|	SET parrilla:tiraasado porcionde3o4huesos
ESI14	|	SET parrilla:vacio vacioconfritas
ESI14	|	SET parrilla:entrania entraniaconfritas
ESI14	|	SET parrilla:bifedelomo bifeconfritas
ESI14	|	SET parrilla:matambre:simple matambrefritas
ESI14	|	SET parrilla:matambre:alapizza matambrejamonquesooregano
ESI14	|	SET parrilla:ojodebife ojodebifeconfritas
ESI14	|	SET parrilla:molleja mollejaconlimon
ESI14	|	SET parrilla:pareja chorizoymorcilla
ESI14	|	SET cocina:papasfritas papayaceite
ESI14	|	SET cocina:batatasfritas batatayaceite
ESI14	|	SET cocina:tallarines tallarinescontuco
ESI14	|	SET cocina:ravioles raviolesdejyqcontuco
ESI14	|	SET cocina:nioquis nioquisdepapacontuco
ESI14	|	SET cocina:suprema supremaalamaryland
ESI14	|	SET cocina:milanesa:carne milanesadecarneconfritas
ESI14	|	SET cocina:milanesa:pollo milanesadepolloconfritas
ESI14	|	STORE sandwich:bondiola:simple 
ESI14	|	STORE sandwich:bondiola:jyq 
ESI14	|	STORE sandwich:bondiola:completo 
ESI14	|	STORE sandwich:lomo:simple 
ESI14	|	STORE sandwich:lomo:jyq 
ESI14	|	STORE sandwich:lomo:completo 
ESI14	|	STORE sandwich:vacio:simple 
ESI14	|	STORE sandwich:vacio:jyq 
ESI14	|	STORE sandwich:vacio:completo 
ESI14	|	STORE sandwich:choripan 
ESI14	|	STORE sandwich:morcipan 
ESI14	|	STORE parrilla:chinchulines 
ESI14	|	STORE parrilla:rinion 
ESI14	|	STORE parrilla:tiraasado 
ESI14	|	STORE parrilla:vacio 
ESI14	|	STORE parrilla:entrania 
ESI14	|	STORE parrilla:bifedelomo 
ESI14	|	STORE parrilla:matambre:simple 
ESI14	|	STORE parrilla:matambre:alapizza 
ESI14	|	STORE parrilla:ojodebife 
ESI14	|	STORE parrilla:molleja 
